net_type,run_index,repetition_index,mutation_rate,Sch 1,R1,M1,B1,Sch 2,R2,M2,B2,log(R1/R2),log(M1/M2),log(B1/B2),Changeovers,log R sq,log M sq,log RM,,,,
2,13,7,0.1,VI 70,212,1.052631579,942,VI 70,200,0.64516129,750,0.025305865,0.212608093,0.098989639,682,0.000640387,0.045202201,0.005380232,,,,
2,13,8,0.1,VI 70,230,1.052631579,976,VI 70,209,0.64516129,750,0.04158155,0.212608093,0.114388554,716,0.001729025,0.045202201,0.008840574,,,,
2,13,9,0.1,VI 70,248,1.052631579,1015,VI 70,201,0.64516129,724,0.091255623,0.212608093,0.146727476,636,0.008327589,0.045202201,0.019401684,,,,
2,14,0,0.1,VI 70,213,1.6,1185,VI 70,204,0.533333333,601,0.018749436,0.477121255,0.294843878,592,0.000351541,0.227644692,0.008945754,,,,
2,14,1,0.1,VI 70,224,1.6,1269,VI 70,191,0.533333333,648,0.069214651,0.477121255,0.291886616,691,0.004790668,0.227644692,0.033023781,,,,
2,14,2,0.1,VI 70,212,1.6,1235,VI 70,186,0.533333333,654,0.056822917,0.477121255,0.276089209,628,0.003228844,0.227644692,0.027111421,,,,
2,14,3,0.1,VI 70,242,1.6,1279,VI 70,189,0.533333333,584,0.107353562,0.477121255,0.340457697,627,0.011524787,0.227644692,0.051220666,,,,
2,14,4,0.1,VI 70,223,1.6,1278,VI 70,176,0.533333333,609,0.102792195,0.477121255,0.321913561,596,0.010566235,0.227644692,0.049044341,,,,
2,14,5,0.1,VI 70,210,1.6,1198,VI 70,189,0.533333333,630,0.045757491,0.477121255,0.279116269,647,0.002093748,0.227644692,0.021831871,,,,
2,14,6,0.1,VI 70,233,1.6,1219,VI 70,185,0.533333333,634,0.100184193,0.477121255,0.283914448,616,0.010036872,0.227644692,0.047800008,,,,
2,14,7,0.1,VI 70,226,1.6,1274,VI 70,178,0.533333333,607,0.103688437,0.477121255,0.321980737,595,0.010751292,0.227644692,0.049471957,,,,
2,15,0,0.1,VI 95,133,0.533333333,472,VI 45,327,1.6,1654,-0.390696112,-0.477121255,-0.544593507,535,0.152643452,0.227644692,0.186409419,,,,
